Matricula,Estado,Marca/Modelo,Color del vehiculo,Estatus Legal,Propietario Virtual,Fecha de registro,Filename
AF4-479-K,AGS,Renault Duster,Azul,Baja Temporal,Sofia Figueroa Suarez,2020-05-28 22:36:29,AF4-479-K.jpg
AB5-522-W,AGS,Ford Fiesta,Beige,Baja Temporal,Daniel Figueroa Carrillo,2022-01-29 02:13:32,AB5-522-W.jpg
AFU-093-Z,AGS,Toyota Yaris,Gris,Remarcaje,Ernesto Silva Silva,2024-02-24 11:19:43,AFU-093-Z.jpg
ABX-966-P,AGS,Peugeot 208,Plateado,Baja Temporal,Carlos Alvarez Mendoza,2022-01-02 09:57:44,ABX-966-P.jpg
ACM-851-J,AGS,Volkswagen Golf,Dorado,Baja Definitiva,David Valencia Mora,2023-09-30 10:05:01,ACM-851-J.jpg
AF1-170-L,AGS,Toyota Yaris,Rojo Oscuro,Reposicion,Angela Reyes Gonzalez,2018-07-09 10:04:15,AF1-170-L.jpg
ACM-059-E,AGS,Kia Forte,Cafe,Activo,Lucia Pineda Rodriguez,2021-08-16 20:29:26,ACM-059-E.jpg
AC1-516-G,AGS,Toyota Yaris,Plateado,Baja Temporal,Adolfo Nieto Bravo,2021-01-01 21:29:09,AC1-516-G.jpg
AAK-541-Y,AGS,Nissan March,Amarillo,Activo,Leticia Rodriguez Avila,2026-04-23 15:20:32,AAK-541-Y.jpg
AC8-169-E,AGS,Kia Rio,Morado,Importacion Definitiva,Lucia Castro Serrano,2024-09-11 00:12:56,AC8-169-E.jpg
AEB-761-R,AGS,Kia Sportage,Dorado,Robado,Teresa Camacho Perez,2026-01-20 19:19:13,AEB-761-R.jpg
AEH-513-B,AGS,Hyundai Accent,Plateado,Importacion Temporal,Carlos Solano Mejia,2021-11-22 12:24:11,AEH-513-B.jpg
AB5-670-B,AGS,Audi Q3,Gris,Activo,Alejandra Tovar Trejo,2023-01-13 23:40:01,AB5-670-B.jpg
AAW-393-V,AGS,Audi Q3,Negro,Irregular,Ricardo Leal Dominguez,2017-09-14 06:46:52,AAW-393-V.jpg
ABV-125-H,AGS,Toyota Prius,Negro,Homologacion,Manuel Dominguez Dominguez,2024-04-21 01:52:51,ABV-125-H.jpg
AEW-324-N,AGS,BMW X3,Blanco,Importacion Temporal,Javier Gallegos Pacheco,2026-01-06 05:03:52,AEW-324-N.jpg
ABG-326-D,AGS,Honda Accord,Dorado,Homologacion,Renata Perez Lopez,2019-07-25 21:33:54,ABG-326-D.jpg
AE0-712-F,AGS,Chevrolet Beat,Gris Oscuro,Robado,Juan Mejia Hernandez,2022-10-23 14:01:35,AE0-712-F.jpg
AEF-359-L,AGS,Honda Accord,Rojo Oscuro,Remarcaje,Manuel Rios Tapia,2022-02-02 22:18:22,AEF-359-L.jpg
AEE-082-V,AGS,Ford Fiesta,Negro,Importacion Definitiva,Adriana Mejia Estrada,2023-05-04 02:03:31,AEE-082-V.jpg
ABZ-079-G,AGS,Volkswagen Golf,Verde Oscuro,Cancelado,Susana Avila Flores,2022-12-06 02:20:01,ABZ-079-G.jpg
AET-536-G,AGS,Hyundai Tucson,Verde,Robado,Miguel Palacios Tovar,2022-06-13 13:09:08,AET-536-G.jpg
ABZ-465-T,AGS,Hyundai Santa Fe,Gris Oscuro,Activo,Oscar Castro Velazquez,2021-11-24 02:11:31,ABZ-465-T.jpg
AFY-405-S,AGS,Renault Duster,Dorado,Cancelado,Lorena Villanueva Diaz,2021-07-04 05:34:40,AFY-405-S.jpg
ABY-849-C,AGS,Peugeot 3008,Blanco Perlado,Baja Definitiva,Arturo Delgado Delgado,2018-11-18 12:24:40,ABY-849-C.jpg
AFV-125-L,AGS,Audi Q3,Verde Oscuro,Recuperado,Benjamin Ruiz Maldonado,2024-02-24 15:40:09,AFV-125-L.jpg
AF5-467-R,AGS,Fiat 500,Naranja,Activo,Arturo Mora Lopez,2021-06-20 02:56:53,AF5-467-R.jpg
AC8-474-P,AGS,Toyota Prius,Gris,Remarcaje,Marisol Tovar Garcia,2020-01-14 18:27:07,AC8-474-P.jpg
AD1-494-F,AGS,Mercedes-Benz GLC,Morado,Recuperado,Francisco Esquivel Campos,2017-07-23 06:58:48,AD1-494-F.jpg
AEW-878-Y,AGS,BMW X3,Verde,Baja Temporal,Rebeca Plascencia Salazar,2023-01-03 22:19:13,AEW-878-Y.jpg
AC7-906-W,AGS,Kia Forte,Amarillo,Homologacion,Liliana Guerrero Bravo,2021-08-28 21:02:28,AC7-906-W.jpg
AFD-700-P,AGS,Mazda 3,Amarillo,Homologacion,Susana Perez Cruz,2026-02-06 05:13:16,AFD-700-P.jpg
ABM-102-V,AGS,Honda Accord,Gris Oscuro,Remarcaje,Sebastian Ramirez Garcia,2022-04-05 13:46:30,ABM-102-V.jpg
ADG-986-S,AGS,Jeep Compass,Rojo Oscuro,Robado,Ruben Zamora Cabrera,2018-01-30 16:41:30,ADG-986-S.jpg
ADT-930-L,AGS,Volkswagen Amarok,Verde Oscuro,Irregular,Ana Herrera Alvarez,2020-12-22 08:15:19,ADT-930-L.jpg
AF7-970-K,AGS,Peugeot 3008,Dorado,Importacion Temporal,Renata Tapia Ramos,2019-05-25 16:22:20,AF7-970-K.jpg
ABT-018-B,AGS,Chevrolet Cruze,Azul Marino,Cancelado,Leticia Mejia Sanchez,2025-03-15 20:41:53,ABT-018-B.jpg
ACT-612-N,AGS,Mazda 3,Negro,Cancelado,Elias Carrillo Alvarez,2019-07-17 20:50:03,ACT-612-N.jpg
ACC-636-U,AGS,Audi Q5,Amarillo,Activo,Benjamin Tapia Vargas,2022-10-10 17:43:10,ACC-636-U.jpg
AEZ-316-K,AGS,Audi Q5,Dorado,Cancelado,Alejandra Ramos Herrera,2017-10-11 05:15:43,AEZ-316-K.jpg
AAH-570-H,AGS,Fiat Cronos,Vino,Homologacion,Cristian Ramirez Hernandez,2019-07-04 06:19:15,AAH-570-H.jpg
AET-298-N,AGS,Honda HR-V,Negro,Importacion Definitiva,Manuel Perez Lopez,2026-01-18 22:27:27,AET-298-N.jpg
AB6-560-T,AGS,Toyota Prius,Rojo Oscuro,Remarcaje,Ignacio Escobar Reyes,2025-04-04 07:16:37,AB6-560-T.jpg
ACF-823-M,AGS,Toyota Corolla,Verde,Irregular,Rosa Arroyo Villanueva,2018-06-09 05:13:12,ACF-823-M.jpg
AE0-593-N,AGS,Nissan Versa,Dorado,Cancelado,Marisol Flores Camacho,2020-11-25 11:42:37,AE0-593-N.jpg
AB8-195-F,AGS,Audi Q5,Azul Marino,Irregular,Julieta Cordero Camacho,2020-11-24 18:38:24,AB8-195-F.jpg
ABW-764-V,AGS,Honda Accord,Azul Marino,Baja Temporal,Luis Navarro Huerta,2021-01-23 14:04:28,ABW-764-V.jpg
ACJ-564-R,AGS,Kia Rio,Dorado,Homologacion,Leticia De La Cruz Fuentes,2022-07-16 17:45:55,ACJ-564-R.jpg
AAJ-188-G,AGS,Peugeot 208,Negro,En Proceso Legal,Angela Izquierdo Tovar,2018-08-20 11:15:42,AAJ-188-G.jpg
AD1-473-T,AGS,Chevrolet Spark,Naranja,Homologacion,Liliana Hernandez Villegas,2017-02-28 19:40:54,AD1-473-T.jpg
ADU-672-Y,AGS,Hyundai Tucson,Verde Oscuro,Reposicion,Gabriela Quintero Avila,2023-01-28 12:12:22,ADU-672-Y.jpg
ADC-402-J,AGS,Audi Q5,Rojo Oscuro,Activo,Norma Quiroz Sepulveda,2021-01-04 13:06:57,ADC-402-J.jpg
AFH-369-W,AGS,Hyundai Santa Fe,Cafe,Activo,Rebeca Montoya Rios,2024-03-29 04:53:53,AFH-369-W.jpg
AAM-598-D,AGS,Kia Sorento,Negro,Reposicion,Mateo Diaz Herrera,2020-09-13 13:15:34,AAM-598-D.jpg
AFC-675-A,AGS,Hyundai Santa Fe,Morado,Reposicion,Teresa Villalobos Avila,2025-09-16 07:54:46,AFC-675-A.jpg
AEE-507-U,AGS,Hyundai Tucson,Negro,Activo,Sofia Mendoza Izquierdo,2018-09-09 14:27:29,AEE-507-U.jpg
ABH-747-U,AGS,Jeep Grand Cherokee,Plateado,Irregular,Regina Alvarez Gallegos,2021-02-08 14:08:13,ABH-747-U.jpg
ACE-886-A,AGS,Volkswagen Jetta,Azul Marino,Baja Temporal,Guillermo Olvera Jimenez,2017-10-04 19:21:18,ACE-886-A.jpg
AAH-397-U,AGS,Chevrolet Aveo,Verde,En Proceso Legal,Elias Castro Quiroz,2017-09-06 02:18:31,AAH-397-U.jpg
AD9-868-G,AGS,Audi A4,Gris,Activo,Carlos Flores Vargas,2017-10-22 11:31:53,AD9-868-G.jpg
AEN-721-Y,AGS,Nissan Versa,Naranja,Activo,Susana Tapia Cabrera,2025-11-20 18:23:31,AEN-721-Y.jpg
AE4-217-W,AGS,Mercedes-Benz A-Class,Morado,Activo,Luis Soto Castillo,2024-10-16 20:00:47,AE4-217-W.jpg
AE0-217-Z,AGS,Fiat Toro,Morado,Activo,Isabel Diaz Lopez,2022-11-22 01:54:10,AE0-217-Z.jpg
AEE-280-N,AGS,Hyundai Elantra,Cafe,Irregular,Sergio Plascencia Rios,2025-04-02 20:51:09,AEE-280-N.jpg
AD6-580-Z,AGS,Peugeot 5008,Azul Marino,Activo,Veronica Diaz Acosta,2023-08-28 04:22:56,AD6-580-Z.jpg
AEE-461-W,AGS,Toyota Yaris,Azul,Robado,Carlos Maldonado Quintero,2019-02-04 13:12:30,AEE-461-W.jpg
ACV-704-B,AGS,Volkswagen Jetta,Vino,Remarcaje,Mauricio Serrano Quiroz,2025-08-11 21:27:46,ACV-704-B.jpg
AAZ-024-Z,AGS,Honda HR-V,Naranja,Activo,Adriana Mora Palacios,2021-05-18 16:16:30,AAZ-024-Z.jpg
AF3-333-S,AGS,Ford Ranger,Morado,En Proceso Legal,Juan Villegas Quiroz,2023-09-30 01:53:16,AF3-333-S.jpg
AAK-714-Z,AGS,Audi Q5,Beige,Robado,Antonio Orozco Rosales,2022-09-08 05:35:59,AAK-714-Z.jpg
AE6-186-L,AGS,Chevrolet Aveo,Negro,Irregular,Ignacio Diaz Carrillo,2019-06-17 03:26:04,AE6-186-L.jpg
AE8-704-J,AGS,Ford Focus,Rojo Oscuro,Activo,Rocio Castillo Reyes,2019-11-05 09:55:31,AE8-704-J.jpg
ABT-570-E,AGS,Jeep Compass,Gris Oscuro,Baja Definitiva,Ricardo Zamora Escobar,2021-08-29 06:22:45,ABT-570-E.jpg
AB0-743-F,AGS,Nissan March,Plateado,Robado,Andres Montes Navarro,2024-12-12 01:57:51,AB0-743-F.jpg
AB5-415-P,AGS,Audi A3,Verde Oscuro,Homologacion,Pedro Soto Martinez,2019-07-09 09:55:25,AB5-415-P.jpg
AAY-116-G,AGS,Kia Sportage,Naranja,Remarcaje,Marina Pacheco Juarez,2023-06-24 20:36:35,AAY-116-G.jpg
ADF-604-M,AGS,Nissan March,Vino,Remarcaje,Juan Alvarez Suarez,2017-02-17 07:12:06,ADF-604-M.jpg
ABV-239-R,AGS,BMW 5 Series,Morado,Activo,Miguel Reyes Contreras,2018-03-12 19:42:28,ABV-239-R.jpg
ABR-707-V,AGS,Fiat 500,Plateado,Homologacion,Sergio Vargas Figueroa,2023-09-21 06:55:01,ABR-707-V.jpg
AEW-429-B,AGS,Mercedes-Benz GLC,Beige,Cancelado,Angela Estrada Ruiz,2018-01-02 20:06:16,AEW-429-B.jpg
AAA-607-R,AGS,Chevrolet Beat,Naranja,Activo,Francisco Garcia Quiroz,2020-08-15 18:03:05,AAA-607-R.jpg
AF0-040-U,AGS,Peugeot 208,Gris,Activo,Andres Montoya Pacheco,2020-06-27 23:26:26,AF0-040-U.jpg
ADE-508-H,AGS,Renault Kwid,Naranja,Recuperado,Pedro Montoya Fernandez,2026-04-23 14:59:20,ADE-508-H.jpg
ABK-886-L,AGS,Peugeot 208,Verde Oscuro,Activo,Alejandra Arroyo Delgado,2019-12-08 12:42:32,ABK-886-L.jpg
AAN-811-R,AGS,Fiat Cronos,Naranja,Recuperado,Elizabeth Izquierdo Rios,2022-03-10 04:58:00,AAN-811-R.jpg
ABF-256-Z,AGS,Mazda 2,Gris,Robado,Hector Rodriguez Gonzalez,2025-06-27 09:10:39,ABF-256-Z.jpg
AAR-624-M,AGS,Toyota Prius,Verde Oscuro,Baja Temporal,Claudia Garcia Medina,2021-01-21 01:55:38,AAR-624-M.jpg
AAM-916-G,AGS,Chevrolet Spark,Amarillo,En Proceso Legal,Ruben Ramos Carrillo,2017-09-10 23:56:56,AAM-916-G.jpg
AER-066-N,AGS,Nissan March,Vino,Importacion Temporal,Andres Correa Estrada,2019-09-07 21:57:09,AER-066-N.jpg
AFB-697-H,AGS,Mazda CX-5,Rojo,Activo,Salvador Gonzalez Estrada,2026-03-02 11:16:57,AFB-697-H.jpg
ADL-946-S,AGS,Jeep Grand Cherokee,Gris Oscuro,Irregular,Estela Sanchez Urbina,2020-06-16 10:28:44,ADL-946-S.jpg
ABC-590-R,AGS,Toyota Prius,Dorado,Activo,Fernando Carrillo Izquierdo,2026-01-29 00:17:51,ABC-590-R.jpg
